順位,貸出数,書名,著者,出版社,出版年月
1,95,人生がときめく片づけの魔法,近藤 麻理恵,サンマーク出版,2004年3月
2,83,祈りの幕が下りる時,東野　圭吾,講談社,2013年9月
3,78,火花,又吉　直樹,文藝春秋,2015年3月
4,66,虚ろな十字架,東野　圭吾,光文社,2014年5月
5,64,豆の上で眠る,湊　かなえ,集英社,2014年3月
6,63,人魚の眠る家,東野　圭吾,幻冬舎,2015年11月
7,62,白ゆき姫殺人事件,湊　かなえ,集英社,2012年7月
8,62,銀翼のイカロス （半沢直樹シリーズ）,池井戸　潤,ダイヤモンド社,2014年7月
9,60,羊と鋼の森,宮下　奈都,文藝春秋,2015年9月
10,58,ナミヤ雑貨店の奇蹟,東野　圭吾,角川書店,2012年3月
11,57,あの日,小保方　晴子,講談社,2016年1月
12,57,フランス人は１０着しか服を持たない パリ,ジェニファー・Ｌ．スコット,大和書房,2014年10月
13,54,マスカレード・イブ （集英社文庫）,東野　圭吾,集英社,2014年8月
14,54,ラプラスの魔女,東野　圭吾,ＫＡＤＯＫＡＷＡ,2015年5月
15,53,夢幻花,東野　圭吾,ＰＨＰ研究所,2013年5月
16,53,何者,朝井　リョウ,新潮社,2012年11月
17,52,マスカレード・ホテル,東野　圭吾,集英社,2011年9月
18,51,境遇,湊　かなえ,双葉社,2011年10月
19,51,カエルの楽園,百田　尚樹,新潮社,2016年2月
20,51,下町ロケット ２ ガウディ計画,池井戸　潤,小学館,2015年11月
