フロアNo,フロア表記,フロア名称(JP),フロア名称(ENG),吹き出し名称,吹き出し名称(ENG),吹き出し種別,X座標,Y座標,詳細文,画像ファイル,MAP方向
1,1F,図書館エリア,,閲覧室［ノンフィクションエリア],,2,458,390,文学系以外のノンフィクション資料を配架、 蔵書数は約5万冊です。[CRLF]資料配架、調査研究、新聞閲覧、雑誌閲覧、デジタルサイネージの[CRLF]ご利用を想定しております。,sample02.jpg,0
1,1F,図書館エリア,,閲覧室［フィクションエリア],,2,436,806,文学系の資料を配架、蔵書数は約2.8万冊です。[CRLF]資料配架、図書閲覧の利用を、想定しております。[CRLF],sample02.jpg,0
1,1F,図書館エリア,,閲覧室［児童エリア],,1,850,660,児童図書を配架、蔵書数は約4.2万冊です。[CRLF]資料配架、おはなし会、キッズ（乳幼児絵本、遊具）[CRLF]での利用を、想定しております。,sample02.jpg,0
1,1F,図書館エリア,,音楽スタジオ,,2,240,806,楽器の演奏やコーラス、映写会など多用途利用できるスペースです。[CRLF]演奏の発表やリハーサル・チューニング、コーラス、ピアノの[CRLF]ミニ発表会、バンド練習に、ご利用頂けます。,sample02.jpg,0
1,1F,図書館エリア,,ホワイエ,,0,324,540,会議室・研修室の待合スペースです。[CRLF]会議室・研修室の待合スペース、お弁当スペース、[CRLF]休憩スペースとして、ご利用頂けます。,sample02.jpg,0
1,1F,図書館エリア,,会議室・研修室,,0,240,320,100人程度で行う会議・研修のスペースで、可動間仕切りに[CRLF]より2室に分割して使用可能です。[CRLF]会議・研修、講演会、講座、団体来館の対応に、ご利用頂けます。,sample02.jpg,0
1,1F,図書館エリア,,キッチンスタジオ,,2,240,174,クッキングや交流を楽しむスペースです。[CRLF]クッキング＋茶話会のできる場所、料理サークル、[CRLF]料理教室、食事しながらの会議に、ご利用頂けます。,sample02.jpg,0
1,1F,図書館エリア,,創作スタジオ1[工房],,0,400,110,多様な創作活動に対応できる、工房型の創作スタジオです。[CRLF]絵画、書道等の制作・教室、科学実験教室、アート系[CRLF]ワークショップ、染色等に、ご利用頂けます。,sample02.jpg,0
1,1F,図書館エリア,,創作スタジオ2[陶芸室],,3,700,174,多様な創作活動に対応できる、陶芸室型の創作スタジオです。[CRLF]陶芸（成形、乾燥、施釉、焼き）、陶芸教室、木工、[CRLF]大人の日曜大工教室等に、ご利用頂けます。,sample02.jpg,0
1,1F,図書館エリア,,市民展示室[企画展示室],,0,810,240,東側エントランス付近にある、気軽に立ち寄れるスペースです。[CRLF]展覧会（市民芸術展、特別展覧会等）、日本画・洋画の展示、[CRLF]彫刻の展示、コンサートに、ご利用頂けます。,sample02.jpg,0
1,1F,図書館エリア,,オープンギャラリー,,0,810,340,催し物を行っていない期間は図書館の閲覧スペースとなります。[CRLF]展覧会（壁面展示、行灯型展示）、市民展示、参加型企画[CRLF]（音の発生が大きくない催し物）に、ご利用頂けます。,sample02.jpg,0
1,1F,図書館エリア,,市民活動支援スペース,,2,660,880,広場に面する、明るく快適なコミュニケーションスペースです。[CRLF]活動団体打合せ、活動準備作業、控室、イベント時等の[CRLF]託児サービスに、ご利用頂けます。,sample02.jpg,0
2,2F,図書館エリア,,閲覧室［ヤングスぺース],,1,520,584,学習室と隣接した学習スペースで、蔵書数は約1.4万冊です。[CRLF]資料配架（YA、参考書（学習用辞書類）、学習スペースと[CRLF]しての利用を、想定しております。,sample02.jpg,0
2,2F,図書館エリア,,学習室,,1,520,144,個人の学習スペースとして、集中して学習できる空間です。[CRLF]ご利用の際は、窓口において、事前に予約してください。[CRLF],sample02.jpg,0
2,2F,図書館エリア,,グループ学習室,,1,400,204,グループ単位の学習スペースとして、[CRLF]集中して学習できる空間です。[CRLF]ご利用の際は、窓口において、事前に予約してください。,sample02.jpg,0
2,2F,図書館エリア,,小会議室,,0,872,394,20人程度で行う会議・研修のスペースです。[CRLF]会議・研修、講座の開催に、ご利用頂けます。,sample02.jpg,0
