òHê¸ÉtÉâÉO,éûä‘,1ï÷No,1ï÷éûçè,2ï÷No,2ï÷éûçè,3ï÷No,3ï÷éûçè
1,7,1,7:02,2,7:47,,
1,8,3,8:32,,,,
1,9,4,9:17,,,,
1,10,5,10:02,6,10:47,,
1,11,7,11:32,,,,
1,12,8,12:17,,,,
1,13,9,13:02,10,13:47,,
1,14,11,14:32,,,,
1,15,12,15:17,,,,
1,16,13,16:02,14,16:47,,
1,17,15,17:32,,,,
1,18,16,18:17,,,,
1,19,17,19:02,,,,
2,7,1,7:23,,,,
2,8,2,8:08,3,8:53,,
2,9,4,9:38,,,,
2,10,5,10:23,,,,
2,11,7,11:08,8,11:53,,
2,12,8,12:38,,,,
2,13,9,13:23,,,,
2,14,10,14:08,11,14:53,,
2,15,12,15:38,,,,
2,16,13,16:23,,,,
2,17,14,17:08,15,17:53,,
2,18,16,18:38,,,,
2,19,17,19:23,,,,
